id,customer_name,sentiment,csat_score,call_timestamp,Call_Day,reason,city,state,channel,response_time,call_duration_in_minutes,call_center
AAA-03321706-1-866834-I1,"Andrea Bailiss",Negative,3,10/15/2020,15,Payments,Charlotte,"North Carolina",Call-Center,"Within SLA",12,Baltimore/MD
AAB-04923282-m-405308-yW,"Othilie Strand",Negative,0,10/22/2020,22,"Service Outage",Nashville,Tennessee,Web,"Below SLA",5,Baltimore/MD
AAB-23102945-b-065985-xp,"Sondra Bearman","Very Positive",0,10-06-2020,6,"Billing Question",Salem,Oregon,Call-Center,"Above SLA",9,Chicago/IL
AAB-64454903-y-396859-bx,"Gibb Augustine",Positive,0,10/15/2020,15,"Service Outage",Littleton,Colorado,Web,"Within SLA",20,"Los Angeles/CA"
AAB-68191584-X-296651-JM,"Hope Verissimo",Positive,0,10-02-2020,2,"Billing Question",Fresno,California,Web,"Within SLA",43,Chicago/IL
AAD-09890763-W-615200-jL,"Eydie Firebrace",Neutral,0,10/16/2020,16,"Billing Question","Las Vegas",Nevada,Web,"Within SLA",28,Baltimore/MD
AAD-20872250-D-453978-fM,"Hendrika Higgonet","Very Positive",9,10/14/2020,14,"Billing Question",Anaheim,California,Email,"Below SLA",8,"Los Angeles/CA"
AAD-28507074-R-562834-Xd,"Bond Eve","Very Negative",0,10/16/2020,16,"Billing Question",Pasadena,California,Call-Center,"Above SLA",20,Baltimore/MD
AAD-37751026-T-355348-zV,"Selby Poon",Negative,0,10-08-2020,8,"Billing Question","Vero Beach",Florida,Web,"Within SLA",21,Chicago/IL
AAD-91253539-C-305338-wj,"Shelbi Baiss",Positive,8,10-10-2020,10,"Billing Question",Paterson,"New Jersey",Call-Center,"Within SLA",11,Baltimore/MD
AAE-05965563-S-424746-4p,"Krysta Gonnelly",Negative,0,10/20/2020,20,"Billing Question",Pasadena,California,Chatbot,"Above SLA",44,Chicago/IL
AAE-20338259-S-732755-mJ,"Celinda Blincko",Positive,8,10/22/2020,22,"Billing Question",Arlington,Virginia,Email,"Within SLA",19,Baltimore/MD
AAE-56555470-4-160195-FX,"Wendall Heinsen",Negative,6,10/27/2020,27,Payments,Amarillo,Texas,Call-Center,"Within SLA",45,"Los Angeles/CA"
AAE-68788374-t-102355-kw,"Emalia Wilton",Negative,5,10-08-2020,8,"Billing Question",Bradenton,Florida,Email,"Within SLA",21,"Los Angeles/CA"
AAF-12965416-Y-392290-yT,"Ardelle Dunbavin","Very Negative",0,10/18/2020,18,"Billing Question",Philadelphia,Pennsylvania,Web,"Within SLA",16,"Los Angeles/CA"
AAF-25933263-r-676313-sd,"Sibylle Tuplin",Positive,0,10-08-2020,8,"Service Outage",Phoenix,Arizona,Web,"Within SLA",14,Baltimore/MD
AAF-97589540-z-453138-Ca,"Roselia Listone",Neutral,0,10/27/2020,27,Payments,Tuscaloosa,Alabama,Call-Center,"Below SLA",28,Chicago/IL
AAG-74209063-w-486645-1T,"Elonore Fernier",Positive,9,10-05-2020,5,"Billing Question",Louisville,Kentucky,Web,"Above SLA",38,Baltimore/MD
AAH-00792945-3-552123-Hn,"Chev Quarles","Very Positive",9,10-06-2020,6,"Billing Question","New York City","New York",Web,"Within SLA",15,Chicago/IL
AAH-47182806-V-056613-mt,"Leonhard McPharlain",Negative,0,10/21/2020,21,Payments,Montgomery,Alabama,Call-Center,"Within SLA",42,Denver/CO
AAI-76624824-D-681890-o9,"Barnaby Dunkinson",Neutral,5,10-05-2020,5,"Billing Question",Flint,Michigan,Email,"Within SLA",24,"Los Angeles/CA"
AAJ-31393249-T-371030-7M,"Corrine Winfred",Negative,0,10-12-2020,12,"Billing Question","Oklahoma City",Oklahoma,Chatbot,"Within SLA",20,"Los Angeles/CA"
AAK-01722446-R-008487-pL,"Rolland Gillbey",Negative,3,10/18/2020,18,"Billing Question",Albany,"New York",Email,"Within SLA",30,Denver/CO
AAK-54246932-l-947676-dt,"Aveline Goodlife",Positive,0,10/17/2020,17,Payments,Fairfax,Virginia,Call-Center,"Below SLA",21,Baltimore/MD
AAK-72648595-0-716329-0q,"Janith Tregonna","Very Negative",2,10/22/2020,22,"Billing Question",Brockton,Massachusetts,Chatbot,"Within SLA",5,Baltimore/MD
AAK-89591840-T-157623-lt,"Cherri Airth",Positive,8,10-09-2020,9,"Billing Question","Los Angeles",California,Email,"Above SLA",7,"Los Angeles/CA"
AAM-07091179-K-410299-9Y,"Antoine Pitkaithly",Negative,0,10-07-2020,7,"Billing Question",Lexington,Kentucky,Chatbot,"Below SLA",36,Baltimore/MD
AAM-13006642-0-551960-P9,"Laughton Weeks",Positive,7,10-07-2020,7,"Billing Question",Gulfport,Mississippi,Call-Center,"Above SLA",31,"Los Angeles/CA"
